Ensembl	C13	C14	C17	C19	C20	C21	C22	C23	Ds11	Ds12	Ds13	Ds15	Ds16	Ds17	Ds18	Ds19
ENSG00000188976	32.46674286	20.3115863	68.25149099	48.95486835	56.16023933	50.40363708	60.06722277	58.60809022	69.30948732	54.15504221	54.42533521	35.93466484	40.07523825	44.91853617	44.46576972	55.15378163
ENSG00000187961	1.614113636	0.291205538	3.787175616	5.189785655	3.928450239	4.999230797	4.62645418	5.021077153	20.61015232	3.964051513	2.351521021	4.687130196	3.856160515	7.961066208	3.806408303	6.249506997
ENSG00000188290	1.521878571	0.80081523	7.574351232	8.797319587	5.865010215	9.175803361	5.265467188	5.425071867	5.880458973	4.48242748	3.063165541	5.688653742	5.189599198	11.13254787	8.074199431	4.028296679
ENSG00000187608	0.876233117	1.237623538	3.15597968	3.639178966	3.375147388	4.999230797	5.239906668	2.568252107	2.683316231	4.147007737	3.372576201	2.724144046	8.757448647	3.948171046	5.363575336	2.898867704
ENSG00000188157	21.67524026	20.16598353	59.41474789	66.70773269	59.92269871	65.46461087	55.18516339	65.07200564	187.204126	64.46157614	53.68274962	74.79377843	50.92294213	164.5287016	202.6047329	104.7733613
ENSG00000131591	3.689402597	2.475247076	7.793897644	7.816323518	6.639634206	8.606270739	5.214346147	6.348488355	15.01515252	7.165785427	7.797148649	10.69627147	8.649331997	18.25220058	23.87656117	18.14615887
ENSG00000078808	38.13919935	38.2207269	53.13023183	49.08144849	53.80870221	48.4102729	48.2838229	49.74906329	147.7536682	56.10657526	54.23968881	60.53208313	54.8872193	69.83732064	81.83777851	78.0435422
ENSG00000176022	9.776916883	7.571343996	15.25847567	15.12632648	13.1409427	16.99105657	16.10312781	15.06323146	13.9874995	12.77644295	12.19078003	10.77639336	11.56848155	19.28778642	16.9558188	13.70373824
ENSG00000160087	8.531743507	5.09609692	12.84346513	13.73394497	13.25160327	13.66878294	14.95290439	13.59153643	36.65295787	14.48403437	14.51135998	17.94730195	14.23535891	27.44302498	24.74165397	18.33439703
ENSG00000162572	2.859287013	3.130459537	7.958557454	7.025197656	8.852845608	8.321504427	5.316588229	10.01329754	32.14270293	7.379234355	5.136216967	11.05681995	7.351932198	19.93502758	22.60775841	13.55314771
ENSG00000131584	37.90861169	23.95165553	114.9599903	94.27055773	106.0958216	102.5475127	81.53805985	94.18848177	345.4626917	92.69781999	81.59159122	146.9835956	91.3946081	288.6695552	282.1355972	158.5341805
ENSG00000169972	0.18447013	0	3.183422982	2.499957724	3.402812531	3.512117838	2.504930992	2.943390055	5.823367139	2.195474684	2.196815691	3.68560665	2.378566299	5.242653357	5.882631014	3.764763251
ENSG00000127054	21.1679474	18.05474338	38.00897267	31.32858414	36.32433214	33.82390963	31.36275844	34.02212623	145.412903	40.64677436	38.98574324	41.58325764	44.47198202	58.89894512	89.27757656	52.3302092
ENSG00000224051	3.55105	1.310424922	14.68216634	11.23398724	11.48103415	14.08011205	13.7004389	11.91784405	29.05974386	12.80693566	9.901141141	13.0198061	10.84770388	24.53043978	17.41720163	14.23080509
ENSG00000107404	18.49313052	11.72102292	55.18847945	49.58776904	43.87691605	63.5661688	54.36722674	51.30732861	154.0908618	47.84305249	44.12196021	61.01281443	56.32877463	152.3605679	87.20135385	58.46677329
ENSG00000162576	0.691762987	0.728013846	3.595072505	1.518961655	1.632243409	2.467974697	2.377128391	1.413981497	12.78857097	4.116515033	3.558222598	5.167861498	4.576938182	5.113205126	4.671501099	2.258857951
ENSG00000175756	8.393390909	3.785671998	24.28732188	18.60728028	23.07272887	26.98951816	23.54123922	22.27742277	23.35056039	22.29016658	20.54486787	16.78553463	19.85742471	16.56937357	13.66846618	16.52731067
ENSG00000221978	50.22199286	45.28246121	58.94821176	49.77763924	59.75670786	46.73331574	48.59054915	53.24073188	128.7991791	58.94239673	62.65565878	86.89218287	60.58136286	116.1797874	144.9895526	68.25515775
ENSG00000242485	22.09029805	15.06988661	29.14478626	22.8477149	27.27783053	26.54654834	27.32419623	23.37397985	24.09275424	25.91879835	22.71074249	16.70541275	20.72235791	16.18102888	20.58920855	20.59325499
ENSG00000235098	5.487986364	4.732089998	8.919073009	6.487232069	10.51275416	7.467205494	5.342148749	5.453928632	11.1899996	12.56299403	8.106559309	7.251030474	12.43341475	18.25220058	34.48836614	6.701278588
ENSG00000179403	4.519518182	1.820034614	42.34501431	15.53771193	26.75219282	22.46489788	16.94662498	11.71584669	80.49948692	37.29257693	38.05751126	28.00259835	30.20058422	43.55932974	240.4381245	25.48744721
ENSG00000215915	0.18447013	0.728013846	1.811257903	2.183507379	1.715238837	2.088286282	0.306726244	1.15427061	16.04280555	2.378430908	3.558222598	3.164814406	3.099343966	7.249100938	11.07318779	3.162401131
ENSG00000160072	6.087514286	3.421665075	12.40437231	11.07576207	11.70235529	9.365647568	10.86322114	11.4561358	22.3799992	12.13609617	13.79971547	19.75004433	13.98308673	33.07402303	36.506916	21.19561711
ENSG00000197785	4.980693507	3.785671998	10.34612469	8.480869242	9.599804456	9.492210373	8.102684944	9.695873124	13.93040767	9.544216335	9.993964339	8.532980614	9.189915247	12.36230606	12.05362629	14.30610036
ENSG00000205090	2.029171429	0.873616615	6.613835677	7.088487724	6.058666213	8.036738116	6.543493204	5.82906658	9.591428228	6.769380276	5.600332958	6.690177289	4.468821532	8.21996267	4.671501099	7.04010728
