Ensembl	C1	C2	C3	C4	C5	C11	Ds1	Ds3	Ds4	Ds5	Ds8	Ds9
ENSG00000188976	20.57021682	23.34725593	45.79083644	41.59984259	25.44781291	34.62317133	47.04853772	32.03714319	36.12693865	28.58439359	34.43114225	50.61731288
ENSG00000187961	0.539138747	0.748309485	2.749922026	1.937607347	0.547264794	1.083328264	3.762449704	2.292005475	3.265517765	3.510364125	1.242160713	4.017247054
ENSG00000188290	0.829444227	0.374154743	3.862250037	3.082557144	0.456053995	1.429993309	3.439954015	2.292005475	0.85934678	1.683541978	0.698715401	2.571038115
ENSG00000187608	0.497666536	1.608865393	5.468946052	5.43117211	1.413767384	2.643320965	6.342415215	3.921876035	1.684319689	3.904384588	1.591518413	2.571038115
ENSG00000188157	6.469664968	5.799398509	28.45705827	23.92651497	8.208971906	16.07659144	56.86673981	36.31555341	28.97717343	38.39908512	15.60464395	31.13366467
ENSG00000131591	1.907721721	2.319759404	5.28355805	3.141272518	2.280269974	4.636644972	11.53817909	5.755480415	6.977895856	4.943165809	3.648847093	11.16794681
ENSG00000078808	27.03988179	26.1534165	38.90058237	40.01452749	31.74135804	42.76979988	50.84682028	48.38678225	43.1048345	41.694529	46.27048655	52.54559147
ENSG00000176022	11.86105244	10.32667089	13.37883413	14.35590898	10.07879328	13.38993735	13.58065179	12.12216229	12.64958461	10.99675292	12.65451226	14.98433151
ENSG00000160087	6.925859292	6.809616314	13.93499813	9.864182859	5.427042538	10.26995195	15.33646165	14.92350231	11.44649911	11.67733372	7.647051887	14.70312422
ENSG00000162572	1.824777299	1.908189187	5.747028055	3.610995511	1.459372783	4.46331245	6.05575238	6.977883334	5.499819394	6.877448082	2.717226559	9.279840695
ENSG00000131584	18.78691173	19.83020135	71.62156468	63.11902722	20.88727296	69.37634206	94.20457401	81.18792726	52.14516263	79.69959366	40.09850051	129.2750102
ENSG00000169972	0.290305479	0.748309485	2.533636024	2.084395783	0	1.819991484	2.544132657	2.13920511	0.824972909	1.468621726	0.582262834	2.691555526
ENSG00000127054	15.92532915	16.4253932	34.66755633	24.71917252	13.95525224	29.50986192	35.83285432	35.70435195	35.47383509	37.93342458	23.95041124	49.41213877
ENSG00000224051	2.115082778	1.945604661	10.1963401	6.517406532	2.234664574	5.676640106	8.671550746	8.862421169	7.287260697	7.629668966	5.744993296	13.21674281
ENSG00000107404	9.455664184	13.31990883	42.76283241	35.40537062	10.12439868	27.90653609	46.15271637	33.56514684	31.86457862	31.73655729	17.93369529	49.01041406
ENSG00000162576	0.373249902	0.486401165	2.842616027	2.11375347	0.86650259	1.776658354	3.224956889	2.495739295	2.646788083	2.650683115	1.902058591	5.744663287
ENSG00000175756	3.566610174	6.622538942	18.90957618	18.73020436	5.24462094	10.70328325	15.3006288	9.626422994	10.96526492	10.56691242	7.414146754	17.3143348
ENSG00000221978	34.67076867	33.89841967	48.69524846	45.41634191	47.56643166	57.15639923	55.21842851	76.9604505	67.64777855	77.12055063	55.4314218	67.52992298
ENSG00000242485	18.74543952	24.65679753	32.90637031	35.58151674	18.60700299	26.12987774	26.40881364	18.8963118	18.11503013	19.12790248	20.2239291	24.66589691
ENSG00000235098	5.681692952	3.891209322	6.27229406	9.482532927	8.345788105	4.896643755	12.61316472	11.05255973	10.51840459	10.92511284	8.8892126	8.074666579
ENSG00000179403	5.349915262	6.173553251	22.27745821	16.49902014	8.7562367	16.89992093	35.00869867	32.34274392	29.9740157	27.97545287	15.21646873	50.41645053
ENSG00000215915	0.829444227	0.785724959	1.205022011	1.761461225	1.73300518	1.213327656	5.124098168	4.431210585	5.396697781	5.229726146	2.251416292	4.901041406
ENSG00000160072	3.898387865	2.132682032	8.651440082	6.253187348	1.77861058	9.966620033	12.4698333	11.00162628	9.143449743	9.313210944	5.783810818	12.93553551
ENSG00000197785	4.06427671	4.48985691	7.291928069	8.04400626	5.381437138	6.239970803	7.524899408	7.792818614	6.393540046	8.990830565	5.12391294	11.60984399
ENSG00000205090	0.373249902	0.785724959	3.954944038	4.873376055	0.547264794	3.509983577	5.8049224	2.95414039	3.67800422	3.295443873	1.785606024	7.030182345
ENSG00000160075	48.85426495	55.56197926	51.66145649	42.53928858	36.39310878	40.60314335	47.33520056	44.77050694	46.85158646	42.55421001	38.15762439	40.45367784
ENSG00000228594	0.62208317	0.860555908	7.940786076	6.722910342	0.592870193	4.853310625	8.635717892	4.38027713	2.681161955	5.731206735	2.794861603	11.81070634
ENSG00000197530	11.19749706	13.39473978	29.32220228	26.71549524	12.86072265	28.42653366	34.435373	35.90808577	28.42719149	33.99321995	23.36814841	50.65748535
ENSG00000248333	29.11349235	19.00706092	15.07822414	15.35407034	33.38315242	19.45657563	23.82884812	22.00325256	22.4461379	19.52192294	32.29617853	19.88537292
ENSG00000189339	14.55674618	28.51059138	47.61381845	36.1393128	15.04978183	42.29313544	40.67028966	29.79607117	47.77968099	31.55745708	27.83216347	48.72920677
ENSG00000008128	1.285638551	1.75852729	1.08143001	1.086234422	2.371480773	1.646658962	1.182484193	2.597606205	1.890562917	1.253701473	1.940876114	2.20948588
ENSG00000215790	13.02227436	26.90172599	21.0415382	22.01826531	9.941977086	27.12653974	35.72535576	40.746764	17.59942206	35.35438155	16.76916962	44.63161477
ENSG00000008130	8.957997648	8.381066232	15.35630615	12.77059388	8.026550308	11.43994647	19.88723415	18.28511034	14.16203494	14.47129701	8.539854899	16.95278257
ENSG00000078369	435.5411634	379.0187542	324.5525951	341.3711854	317.9152398	321.1851638	355.2469177	283.6484109	358.5882245	290.5363614	373.7739219	315.9564808
ENSG00000142609	2.778638159	3.928624796	7.32282607	7.310064083	4.514934548	5.199975669	4.407441082	8.200286254	6.599783273	9.599771281	6.171986041	9.440530577
ENSG00000187730	4.644887669	7.969496015	13.06985412	17.84947375	3.739642757	9.359956205	14.08231175	12.58056338	9.89967491	12.89521515	7.608234365	10.80639458
ENSG00000067606	93.43689213	90.35837032	104.373445	110.5904072	72.46697977	103.9128471	133.4057166	84.6514022	99.99359136	78.44589218	94.87002443	110.5948114
ENSG00000162585	1.990666144	2.432005826	5.314456051	4.755945307	1.869821379	4.419979319	7.417400845	5.653613505	9.487188455	5.802846819	3.76529966	11.00725693
ENSG00000157933	38.81798981	31.61607574	51.63055849	47.11908776	31.60454184	65.21636152	82.9172249	75.9417814	75.41627344	76.76235021	56.8288526	93.15995919
ENSG00000116151	3.856915654	4.826596178	8.836828084	8.396298505	4.33251295	8.27662794	7.811562242	9.015221534	8.971580387	10.13707191	7.879957021	11.16794681
ENSG00000157916	33.09482464	36.48008739	43.78246642	41.8053464	42.36741612	46.0631178	45.07773074	53.22546047	50.3920952	46.02875409	42.89336211	50.0548983
ENSG00000157911	10.53394168	11.78587439	17.02479816	14.73755891	10.76287428	13.1732717	10.28402919	12.83523066	10.03717039	16.90705987	8.345767288	13.98001975
ENSG00000149527	18.37218962	15.19068255	45.57455043	42.01085021	16.18991681	55.5530734	51.02598455	41.00143127	32.75829927	43.91537161	34.35350721	49.17110394
ENSG00000157881	7.506470251	9.017129295	14.46026414	11.74307483	7.616101713	10.65995012	17.55809862	13.70109939	14.23078268	14.61457717	9.782015612	17.67588704
ENSG00000157873	1.949193933	2.357174878	8.187970078	4.902733743	4.195696752	8.666626116	6.05575238	9.779223359	6.496661659	8.704270229	6.598978786	9.038805872
ENSG00000157870	7.008803715	12.08519818	33.86420832	23.54486504	5.24462094	18.58991302	29.84876765	16.24777214	19.90247143	17.22944025	10.24782588	39.77074584
ENSG00000215912	1.700360665	0.673478537	3.028004029	2.495403402	0.820897191	1.776658354	3.260789743	3.56534185	2.406170985	2.937243452	2.600773992	5.463455994
ENSG00000142611	6.345248334	7.296017479	9.42389009	9.922898233	7.433680115	8.926624899	14.22564317	17.47017506	13.23394042	18.41150164	11.6840742	23.78210256
ENSG00000162591	0.787972015	1.047633279	2.162860021	1.966965034	1.550583582	1.169994526	2.185804114	3.76907567	2.990526796	1.862642189	2.756044081	5.342938582
ENSG00000158109	54.37006906	67.46010007	60.09661057	56.95391294	30.00835286	51.69642478	63.81831355	48.53958261	53.45136974	54.76884436	47.35737717	66.36492134
ENSG00000116213	2.944527005	3.217730786	8.589644082	4.638514559	2.280269974	5.286641931	6.736576613	7.487217884	7.493503925	8.310249766	5.97789843	10.40466987
ENSG00000130764	36.66143482	26.3030784	45.51275443	36.37417429	29.23306107	42.29313544	42.10360383	33.05581229	32.03644797	36.35734272	31.86918578	38.44505431
ENSG00000116198	58.47581798	47.2183285	35.37821034	35.2292245	56.27706296	53.16975122	44.36107365	56.33240123	52.55764909	54.23154373	57.83810818	49.05058653
ENSG00000169598	2.861582582	1.908189187	5.159966049	4.403653062	3.374799561	4.723311233	6.736576613	8.811487714	6.084175205	6.447607577	5.046277895	8.15501152
ENSG00000198912	10.16069178	10.58857921	9.331196089	8.836663811	7.342469316	8.059962288	11.39484767	11.25629355	9.040328129	8.131149555	10.6360011	8.958460931
ENSG00000196581	181.9800633	187.0025403	149.1137494	150.3113579	148.0351267	199.0724019	179.2359373	143.73421	185.1376704	143.1368882	179.8027632	203.9154605
ENSG00000131697	8.335914478	8.193988861	15.51079615	13.53389374	6.612782924	24.30988625	24.4738395	26.89286424	16.49945818	23.5695877	18.01133033	37.40057007
ENSG00000069424	97.79147432	103.9776029	148.8356674	135.9260912	56.09464136	181.4358177	172.6068593	126.3659018	132.9581339	123.9373456	118.5875305	251.4394931
ENSG00000116254	164.4787901	142.7026188	230.5299802	199.7497029	116.5217957	259.4354528	285.9461775	248.2496597	217.792848	235.4809567	236.5151632	283.9791943
ENSG00000116251	62.9548168	58.63004815	53.57713251	67.93368791	76.84509812	43.5064631	40.02529828	38.86222616	45.54537936	44.91833278	44.0967053	42.86402607
ENSG00000158286	4.561943246	3.666716477	8.218868078	7.603640954	2.006637577	11.17994769	10.53485917	12.32589611	8.318476834	12.21463435	7.569416843	11.52949905
ENSG00000116237	30.60649196	40.93252883	38.37531636	44.68239974	34.20404961	30.41985767	34.00537875	33.25954611	32.79267314	33.99321995	27.0169955	31.37469949
ENSG00000158292	1.741832876	4.676934281	11.49405611	9.277029118	1.869821379	8.103295418	12.4698333	6.21388151	3.849873576	9.492311155	3.610029571	9.400358107
ENSG00000097021	29.94293658	50.24898192	60.49828458	46.3557879	14.00085764	54.07974696	65.03663059	39.77902835	37.70813672	42.26764967	33.1113465	51.58145218
ENSG00000215788	3.608082386	3.442223631	6.612172063	5.607318232	5.062199342	12.82660665	13.43732037	16.24777214	16.19009334	16.90705987	10.24782588	18.59985386
ENSG00000171680	18.41366183	20.12952515	50.88900648	36.46224735	27.18081809	49.83310017	45.36439357	48.28491534	47.33282066	51.79578087	43.24271981	81.67063261
ENSG00000162408	48.10776514	43.17745729	52.6192945	46.50257634	38.71898416	61.40304603	49.05517757	42.27476765	38.77372673	39.07966592	44.98950831	50.81817524
ENSG00000204859	3.400721329	4.564687859	9.084012086	8.631160002	2.462691572	6.933300893	12.03983905	11.86749501	7.252886826	9.420671071	6.67661383	11.32863669
ENSG00000162413	8.128553421	9.840269728	23.66786823	16.38158939	9.440317692	14.34326622	29.99209907	29.33767008	26.88036729	26.79339149	13.00386996	33.26280561
ENSG00000116273	5.515804107	6.734785365	12.05022011	8.455013879	6.293545128	9.663288119	10.71402344	7.690951704	8.696589417	9.277390902	7.53059932	9.962772694
ENSG00000041988	3.068943639	3.030653414	7.909888075	5.343099049	1.824215979	4.50664558	7.489066553	7.181617154	8.043485864	7.844589218	3.610029571	8.556736225
ENSG00000007923	49.93254244	51.07212235	49.68398447	46.15028409	41.54651892	55.33640775	49.01934471	39.62622799	41.69550578	40.44082752	52.24838498	49.45231124
ENSG00000171735	275.1681222	231.1902154	190.9187438	220.8578799	194.187791	255.7088035	229.0794377	173.2756139	216.2803977	182.8254948	250.2953836	205.6428767
ENSG00000049245	52.87706945	51.2966152	47.21214445	51.72824464	78.6237087	55.89973845	49.59267038	68.14896278	59.74178817	70.09982238	59.89543686	57.76801264
ENSG00000049246	66.85320467	46.24552617	65.41106662	59.83096627	51.30607441	62.39970803	60.27086097	56.38333468	45.71724871	51.00773994	45.61058867	55.39783688
ENSG00000116288	76.80653539	83.32426116	66.05992463	73.33550233	77.84841691	66.25635665	59.87669957	58.98094089	58.40120719	54.15990365	72.93812435	49.33179383
ENSG00000116285	29.19643678	28.99699254	23.20439822	23.04578436	32.15180663	26.17321087	29.45460625	24.49899185	26.9834889	24.680009	29.30722931	26.43348562
ENSG00000162426	1.824777299	3.105484363	7.909888075	6.311902722	1.73300518	6.976634023	13.29398895	5.60268005	5.018585197	6.805807998	3.76529966	12.93553551
ENSG00000142599	173.3538434	145.9203496	152.2035494	168.1901893	156.3353094	196.2557484	215.5704516	209.896768	225.6988384	211.6606287	201.8122983	228.1796327
ENSG00000074800	273.3848171	389.3080096	512.7523149	482.4935872	273.8604239	347.1417091	388.9656337	268.8777089	302.2494496	293.2228646	329.8324867	402.6888447
ENSG00000142583	3.649554597	2.656498672	8.867726084	6.987129525	3.648431958	4.766644364	11.28734911	8.913354624	8.662215546	8.238609681	11.37353403	20.92985715
ENSG00000049239	8.08708121	9.091960243	22.30835621	17.70268531	11.26453367	20.23657198	27.23296928	35.09315049	27.63659246	27.22323199	20.34038167	40.69471266
ENSG00000171621	2.985999216	3.891209322	5.747028055	4.93209143	6.11112353	6.586635848	10.21236348	9.117088444	11.99648105	10.10125187	7.220059142	11.85087881
ENSG00000171612	11.23896927	12.23486008	14.39846814	13.8568283	11.90300926	8.796625507	9.997366356	8.658687349	7.046643599	8.489349976	8.617489944	8.195183991
ENSG00000188807	2.48833268	3.030653414	8.218868078	6.722910342	2.371480773	6.71663524	9.746536376	11.46002737	6.462287788	9.06247065	4.891007806	14.38174445
ENSG00000171608	7.630886885	6.847031788	13.31703813	10.83298653	6.11112353	12.17660969	16.66227726	14.05763358	15.91510237	12.35791452	13.93549049	15.18519386
ENSG00000171603	507.5369223	523.7418086	589.7810296	561.1134732	365.0712228	647.1369721	694.4048839	508.9780158	701.3644683	512.5848024	712.6897089	642.3979764
ENSG00000178585	8.916525436	8.680390026	23.85325623	18.81827742	7.251258517	13.1732717	18.84808137	15.68750414	10.03717039	13.53997591	7.879957021	24.70606938
ENSG00000162441	48.93720937	51.03470688	40.93985039	47.41266464	47.88566945	37.09315978	39.91779971	34.38008212	35.74882606	40.40500748	32.10209092	36.91850043
ENSG00000173614	9.289775338	11.4865506	10.8451981	11.50821334	11.72058767	11.0499483	12.36233474	10.44135827	9.487188455	15.22351789	11.41235155	9.360185636
ENSG00000162444	3.939860076	5.500074715	3.862250037	4.198149253	10.94529587	4.853310625	3.009959763	5.653613505	3.781125834	5.086445977	7.103606575	2.651383056
ENSG00000130939	100.6945291	96.3448462	93.77543089	84.0804158	90.93716656	105.6461724	105.7069203	108.4882591	108.3464421	106.6720854	106.7093687	109.7511895
ENSG00000054523	1172.502359	1228.312604	1094.994232	1070.939067	1017.137225	1193.567749	1072.333998	1029.87446	1126.397386	1010.626668	1155.908178	1045.729581
ENSG00000142657	54.9092078	66.71179059	60.22020257	68.10983403	67.26796423	59.66972081	72.13153575	60.91641218	69.2633505	63.54475467	85.28209643	65.96319663
ENSG00000160049	68.51209312	69.77985948	61.08534658	65.79057675	91.39322055	67.38301805	78.97561093	68.76016424	76.41311571	68.98940107	81.63324933	68.69492463
ENSG00000142655	7.630886885	9.952516151	14.73834614	14.03297442	9.075474496	13.82326865	18.34642141	14.31230085	15.57136366	17.05034004	15.25528625	20.76916727
ENSG00000130940	0.497666536	0.710894011	0.370776004	0.49908068	0.547264794	1.256660787	1.289982756	0.91680219	2.715535826	1.826822147	0.931620534	1.406036469
ENSG00000120948	57.93667923	45.1978929	38.18992836	32.90996722	45.60539948	50.52643025	53.28345438	52.5123921	58.12621622	53.80170322	53.80108587	53.22852347
ENSG00000116649	5.59874853	6.921862736	20.08370019	15.20728191	4.879777744	18.67657928	26.5163122	15.33096995	12.95894945	17.80256092	10.09255579	29.56693832
ENSG00000171824	69.50742619	53.42929723	54.10239851	47.61816845	67.45038583	60.01638585	54.46593857	66.62095913	59.05431075	71.42516393	69.0175546	53.91145547
ENSG00000198793	107.8277495	128.2228303	146.7655014	124.1830164	84.91725383	125.8394112	136.9890021	97.8941005	110.1682572	104.2721425	105.3507554	137.1488144
ENSG00000120942	5.971998432	5.949060406	9.331196089	7.632998641	3.922064355	9.793287511	10.82152201	10.03389063	9.246571357	10.53109238	9.160935256	13.0962254
ENSG00000204624	3.068943639	3.741547425	8.37335808	6.869698777	3.101167165	16.03325831	11.57401195	9.575489539	5.740436493	9.850511576	4.735737717	11.93122375
ENSG00000116661	21.02641114	24.76904395	60.56008058	49.96678341	17.1932356	27.42987166	42.39026666	41.86730001	26.12414212	39.43786634	29.77303958	37.72194984
ENSG00000132879	27.41313169	36.0311017	90.62383486	64.38140777	17.92292199	56.6797348	74.24567416	40.89956436	40.73303739	45.41981337	31.40337552	75.80545191
ENSG00000116663	0.331777691	1.085048753	2.502738024	1.966965034	0.684080992	2.383322182	1.791642716	2.64853966	1.821815174	2.686503157	1.552700891	3.173625173
ENSG00000116670	1.617416242	3.329977208	5.25266005	4.403653062	2.280269974	2.946652879	6.557412341	3.616275305	3.540508735	3.187983746	3.105401782	4.820696465
ENSG00000162490	3.815443442	2.095266558	6.179600059	4.844018368	1.504978183	4.159980536	5.948253817	6.061081145	2.749909697	7.199828461	2.794861603	2.20948588
ENSG00000177674	0.870916438	0.823140434	2.719024026	1.966965034	1.368161984	2.25332279	4.765769625	3.25974112	3.059274538	3.008883536	1.902058591	4.941213877
ENSG00000177000	11.3633859	14.85394328	31.4232663	20.13937334	10.76287428	29.42319566	33.93371304	28.21713407	24.88668276	33.88575982	17.97251281	41.33747219
ENSG00000011021	36.9517403	47.10608208	70.84911467	58.45115498	28.32095308	68.98634388	77.68562817	68.55643042	73.21634569	63.72385488	57.60520305	84.60322296
ENSG00000116685	5.847581798	8.680390026	16.77761416	12.56509007	5.335831739	13.30327109	18.23892285	12.68243029	13.40580977	15.65335839	10.79127119	23.38037786
ENSG00000083444	8.252970055	10.10217805	21.2269262	17.05681619	7.160047718	19.62990815	36.01201859	21.3920511	36.47067736	21.31292505	21.38845477	33.1422882
ENSG00000116688	79.33634028	104.2395113	141.1111673	122.9499935	70.2779206	105.212841	127.8157914	93.87035756	90.81576775	94.85147146	88.30986316	134.7384662
