ENSEMBL	hippo_RNA	hippo_protein	cortex_RNA	cortex_protein
ENSG00000175899	0.154117476	0.74984773	0.243009744	1.357900381
ENSG00000115977	0.007985121	-0.277431806	-0.352325942	-0.806482792
ENSG00000090861	0.168228403	-0.771550814	-0.166826576	-0.863637447
ENSG00000163686	-0.124881644	-1.465664228	-0.304539948	-1.418313265
ENSG00000099204	0.121689584	0.498206139	0.031830476	0.931847572
ENSG00000163995	0.293944965	-0.626752536	-0.144313167	-0.922697306
ENSG00000159842	0.197543657	-0.764094989	0.081346524	-1.192329168
ENSG00000278540	-0.156856854	-1.453464826	-0.323370753	-1.688216448
ENSG00000072778	0.539779371	1.097867966	0.425820492	0.608431578
ENSG00000114331	-0.33504979	-0.067535082	-0.342278854	-1.064943552
ENSG00000170634	-0.333431943	1.484931628	-0.34789167	1.515726089
ENSG00000137845	-0.319948015	0.343659083	-0.191378235	0.926637411
ENSG00000162104	0.488021358	-1.344401677	0.265292502	-1.09736228
ENSG00000148700	-0.232546734	0.473888715	-0.069485692	0.394881487
ENSG00000173744	-0.315998446	-0.855864843	-0.340388693	-1.502736807
ENSG00000158467	0.160465034	0.580856323	0.127118366	0.761292934
ENSG00000186063	0.121939722	-0.451802254	0.074051072	-1.027497053
ENSG00000183773	0.770168909	-1.017168681	0.311060195	1.61994791
ENSG00000110711	0.200558833	-0.077481906	0.146638561	-2.001285076
ENSG00000004455	0.227459106	0.819319407	0.352362289	1.325809002
ENSG00000162433	-0.221039625	-1.815860748	0.000173538	-2.013589859
ENSG00000118507	-0.662442259	-0.296305339	-0.324555206	-0.53237009
ENSG00000085662	0.275345205	1.024397532	0.091074695	1.092241049
ENSG00000053371	0.457900717	1.21899732	0.351528113	0.777928591
ENSG00000072210	0.106605566	1.395493189	0.286637049	-2.006705523
ENSG00000119711	0.099456458	0.68664519	0.338954391	0.497188807
ENSG00000164904	-0.075108533	0.5113554	0.394915151	0.825016499
ENSG00000143149	-0.312019746	1.364930153	-0.053041449	1.232907295
ENSG00000165566	0.340114927	1.079682986	0.299917629	1.5570755
ENSG00000136938	0.209079359	0.157651583	0.490842043	1.038683891
ENSG00000135046	-0.225008115	1.209272385	0.210745539	1.194378376
ENSG00000138772	0.42275345	1.479314168	0.373074514	0.824864864
ENSG00000072958	0.182472191	-0.13028272	0.103385432	-0.571569443
ENSG00000065000	0.244213105	-0.400669734	0.158439487	-0.80986762
ENSG00000185009	-0.063019695	-1.868886948	-0.24105372	-1.45539093
ENSG00000107282	-0.156681407	-0.343774478	-0.062893786	-1.155541658
ENSG00000166313	0.172749454	-1.107134183	-0.285659801	-1.315764189
ENSG00000164062	0.171815498	1.077159564	-0.065852648	0.986215353
ENSG00000105290	0.733787773	0.281720479	0.17206754	1.01147151
ENSG00000189058	0.579411389	1.121712049	0.526345114	1.061211586
ENSG00000128335	0.599635404	1.555994034	0.056206729	-0.633484125
ENSG00000142192	0.381665727	1.10866038	-0.012162907	1.253394604
ENSG00000198931	0.752332693	1.132214228	0.294080935	0.818099976
ENSG00000112379	-0.112535263	-0.550127983	-0.279047309	-1.999677181
ENSG00000145819	0.064419375	-0.156594276	-0.169318536	-1.673404694
ENSG00000111348	0.421497655	-0.013400078	0.354339589	0.847105503
ENSG00000102606	0.065648762	-0.370883306	-0.191963428	-0.638731003
ENSG00000242498	0.265205586	0.298596064	0.288797129	-1.442958593
ENSG00000104763	-0.363792853	1.782491048	-0.381338177	2.082600117
ENSG00000153317	0.00815061	-0.189234098	-0.335630462	-1.114536047
ENSG00000151693	-0.258659408	-2.598166784	-0.318994272	-1.605010986
ENSG00000126522	0.685672288	1.23691686	0.390791732	0.69712472
ENSG00000108381	0.312255644	0.364009539	0.237573134	0.892945289
ENSG00000174939	0.393823439	0.314513842	0.359025435	-0.778023481
ENSG00000197785	0.398713062	-0.809418043	0.443903632	-0.852500439
ENSG00000107669	-0.378136601	-0.809236526	-0.22754713	-1.151440144
ENSG00000197548	0.173232665	0.349426905	0.034559966	0.538277149
ENSG00000198899	-0.136862816	-0.015247027	0.478426569	-0.628563643
ENSG00000128524	0.252310128	0.104603132	-0.405896079	0.58330965
ENSG00000054793	0.051302367	-0.058006605	-0.354896057	0.530384302
ENSG00000204842	0.01963866	0.963190079	0.020565075	-1.093103647
ENSG00000166710	0.083204156	0.353889783	0.114729534	1.083090067
ENSG00000174684	-0.313460843	0.713855743	-0.514186905	0.5502491
ENSG00000064787	-0.076114011	0.825822512	0.400654778	0.990488768
ENSG00000074582	0.532825033	0.979838053	0.295817713	0.554097652
ENSG00000164039	-0.456975987	0.876772245	0.171308927	1.034069061
ENSG00000108578	-0.105098827	0.428778966	-0.253210088	0.528461218
ENSG00000165714	0.173161566	0.660727501	-0.175460339	0.998864174
ENSG00000162813	-0.331388168	0.143335025	-0.294905935	0.479064941
ENSG00000160469	0.347905766	0.5058616	0.223974366	-1.847081184
ENSG00000174672	0.656874913	-1.039203644	0.432294326	-1.647349834
ENSG00000168000	0.691552457	-0.286092122	0.16089227	-0.645366907
