Ensembl_ID	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	Ds10	Ds11	Ds12	Ds13	Ds14	Ds15	Ds16	Ds17	Ds18	Ds19
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	5	4	0	21	61	28	21	15	27	38	23	29	20	63	45	16	36	10	24	50	41	32
ENSG00000188976	266	704	279	566	1561	2487	1438	1547	2030	1593	2350	2031	996	1214	1776	1759	1954	897	1112	694	771	1465
ENSG00000187961	20	35	4	30	149	138	129	164	142	158	181	174	92	361	130	76	148	117	107	123	66	166
ENSG00000187583	0	2	0	0	5	7	0	1	3	0	170	1	1	1	0	0	4	3	0	1	2	1
ENSG00000187642	0	1	0	2	2	0	0	3	2	6	2	3	4	1	8	8	4	14	13	9	4	5
ENSG00000188290	50	33	11	129	173	276	112	278	212	290	206	188	94	103	147	99	276	142	144	172	140	107
ENSG00000187608	25	19	17	73	155	115	61	115	122	158	205	89	68	47	136	109	215	68	243	61	93	77
ENSG00000188157	651	470	277	1241	1743	2165	2047	2108	2166	2069	2159	2255	1642	3279	2114	1735	3284	1867	1413	2542	3513	2783
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0
ENSG00000131591	99	80	34	115	280	284	290	247	240	272	204	220	164	263	235	252	341	267	240	282	414	482
ENSG00000162571	0	0	0	0	0	1	0	0	0	0	4	2	0	0	0	0	0	1	0	0	2	0
ENSG00000186891	1	2	0	3	11	14	8	7	4	13	17	12	7	26	11	1	10	4	13	7	3	10
ENSG00000186827	2	3	0	7	11	10	4	9	5	9	1	2	3	19	2	7	7	16	9	20	4	4
ENSG00000078808	568	827	525	807	1935	1936	1728	1551	1945	1530	1889	1724	1284	2588	1840	1753	1785	1511	1523	1079	1419	2073
ENSG00000176022	102	212	104	160	363	556	391	478	475	537	630	522	223	245	419	394	589	269	321	298	294	364
ENSG00000184163	0	2	0	5	3	9	11	1	3	6	4	4	10	29	3	0	0	12	5	11	7	18
ENSG00000160087	104	185	70	251	572	468	427	434	479	432	585	471	478	642	475	469	457	448	395	424	429	487
ENSG00000162572	131	62	43	117	251	290	338	222	320	263	208	347	193	563	242	166	314	276	204	308	392	360
ENSG00000131584	1224	822	329	1479	3703	4189	4085	2979	3835	3241	3190	3264	2520	6051	3040	2637	4133	3669	2536	4460	4892	4211
ENSG00000169972	11	4	0	58	96	116	95	79	123	111	98	102	69	102	72	71	110	92	66	81	102	100
ENSG00000127054	367	459	248	441	1364	1385	1359	990	1313	1069	1227	1179	1396	2547	1333	1260	1278	1038	1234	910	1548	1390
ENSG00000224051	90	77	18	210	335	535	335	355	415	445	536	413	273	509	420	320	386	325	301	379	302	378
ENSG00000169962	4	0	4	1	5	1	8	3	7	5	6	5	6	43	5	8	3	3	10	8	6	10
ENSG00000107404	490	401	161	1018	1667	2011	1359	1567	1586	2009	2127	1778	1213	2699	1569	1426	1731	1523	1563	2354	1512	1553
ENSG00000162576	35	15	10	86	309	131	163	48	59	78	93	49	137	224	135	115	65	129	127	79	81	60
ENSG00000175756	92	182	52	277	626	885	563	588	834	853	921	772	371	409	731	664	735	419	551	256	237	439
ENSG00000221978	748	1089	622	972	1677	2148	2321	1573	2160	1477	1901	1845	2260	2256	1933	2025	2128	2169	1681	1795	2514	1813
ENSG00000242485	198	479	207	255	680	1062	688	722	986	839	1069	810	556	422	850	734	884	417	575	250	357	547
ENSG00000235098	171	119	65	226	383	325	389	205	380	236	209	189	500	196	412	262	500	181	345	282	598	178
ENSG00000205116	27	14	0	20	60	88	52	19	37	26	37	12	76	51	40	53	87	18	36	15	325	9
ENSG00000179403	440	98	25	608	1512	1543	966	491	967	710	663	406	1494	1410	1223	1230	1469	699	838	673	4169	677
ENSG00000215915	62	4	10	25	351	66	138	69	62	66	12	40	128	281	78	115	144	79	86	112	192	84
ENSG00000160072	140	132	47	171	496	452	424	350	423	296	425	397	429	392	398	446	434	493	388	511	633	563
ENSG00000197785	74	108	52	151	274	377	346	268	347	300	317	336	217	244	313	323	339	213	255	191	209	380
ENSG00000205090	46	44	12	43	169	241	148	224	219	254	256	202	106	168	222	181	261	167	124	127	81	187
ENSG00000160075	350	1124	521	685	1492	2259	1277	1556	1887	1668	2185	1759	1292	1156	1419	1477	1633	1098	1446	975	747	1403
ENSG00000228594	99	50	22	244	212	414	389	275	347	451	553	485	184	160	415	339	399	290	221	310	184	370
ENSG00000197530	390	529	197	619	1331	1801	1750	1287	1573	1439	1761	1649	940	2486	1473	1330	1481	1414	1173	1461	1333	1710
ENSG00000189409	0	0	0	0	16	0	3	1	2	3	2	2	6	46	6	5	1	5	6	3	5	18
ENSG00000248333	372	754	529	376	655	857	792	781	867	648	890	702	558	957	640	654	714	478	600	523	685	582
ENSG00000189339	668	622	241	1114	1677	1589	831	1617	1684	1624	1938	2112	1266	1032	1833	1144	1267	977	1390	1742	1437	1664
ENSG00000008128	34	18	62	33	53	72	81	78	69	37	42	52	107	164	32	54	77	85	60	54	78	39
ENSG00000215790	488	386	349	515	726	798	1551	960	737	748	712	945	572	796	760	1155	1148	1202	652	538	563	665
ENSG00000008130	216	211	115	337	579	576	470	555	547	522	596	554	510	787	502	545	580	466	528	671	463	624
ENSG00000078369	3024	10718	6254	4925	13540	17796	11678	15416	16687	15366	18843	16521	10235	5248	13944	14054	16770	9151	12017	6916	4449	9952
ENSG00000169885	3	4	6	4	22	12	23	26	23	16	18	12	12	18	8	17	17	25	14	8	5	13
ENSG00000178821	0	0	0	1	15	12	9	15	13	25	25	15	17	37	7	17	27	14	20	3	6	34
ENSG00000142609	115	175	117	110	208	386	363	287	402	292	428	410	151	540	276	317	265	310	306	215	115	301
ENSG00000187730	184	383	86	264	852	1776	1179	1286	1919	1646	2203	1997	541	739	1196	1161	1436	681	773	425	218	1120
ENSG00000067606	892	2398	1073	1140	3678	5006	3421	4552	4746	4710	5593	4668	2504	2156	3904	3800	4757	2426	3273	1988	2172	3305
ENSG00000162585	86	78	24	162	306	254	213	142	200	226	235	214	274	403	251	281	238	225	288	287	301	279
ENSG00000157933	1072	1201	802	1667	2843	2528	2515	2185	2307	2379	2626	2656	2018	4289	2491	2330	2810	2199	2429	3308	2192	2523
ENSG00000116151	85	164	76	180	261	447	456	374	416	339	529	488	234	273	400	436	344	403	243	211	199	287
ENSG00000157916	545	762	436	787	1764	1797	1544	1356	1706	1488	1635	1595	1397	1222	1480	1525	1537	1459	1180	992	1214	1162
ENSG00000157911	175	205	123	274	424	574	369	455	513	543	573	523	287	305	419	428	464	403	367	301	400	346
ENSG00000149527	806	573	433	856	2345	1980	1771	2086	1879	2038	2016	1728	1559	3661	1630	1315	2414	1620	1366	1854	2419	1649
ENSG00000157881	130	202	68	179	500	857	552	636	683	679	739	652	571	665	624	529	619	448	536	389	392	657
ENSG00000197921	43	17	15	90	7	110	40	64	59	115	58	84	2	1	43	32	52	92	19	54	114	32
ENSG00000157873	68	124	116	177	362	293	297	267	280	294	286	327	148	503	221	242	271	195	175	264	124	236
ENSG00000157870	214	288	109	436	830	1286	717	805	985	1137	1277	1201	791	1074	998	1036	967	812	934	792	431	1108
ENSG00000142606	2	0	0	0	5	15	4	0	5	6	9	5	24	66	11	9	10	9	35	14	3	9
ENSG00000215912	67	21	38	82	100	110	129	105	111	108	125	79	63	106	108	101	97	119	80	113	79	117
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000142611	546	206	176	1107	289	450	589	392	411	485	686	530	791	1225	578	676	411	772	419	1349	622	563
ENSG00000130762	36	10	0	20	20	42	38	17	20	35	41	42	67	155	40	51	42	41	40	82	90	41
ENSG00000162591	57	26	16	112	77	148	91	65	141	94	122	93	61	262	114	153	141	86	112	181	123	162
ENSG00000158109	325	1085	616	634	1774	2467	1796	1874	2098	2091	2740	2483	1484	816	2155	2238	2176	1437	1845	731	512	1968
ENSG00000116213	70	130	64	118	322	360	315	298	333	216	276	302	288	251	260	280	309	279	208	171	313	311
ENSG00000078900	1	6	0	8	5	5	3	0	8	7	11	16	8	1	12	6	10	0	7	13	8	8
ENSG00000162592	6	0	0	0	0	3	2	3	4	6	5	1	4	0	6	2	0	2	4	0	1	8
ENSG00000235169	1	8	0	12	7	6	3	0	7	15	14	12	5	19	6	13	7	12	3	9	14	10
ENSG00000130764	394	886	400	471	1408	1728	1181	1580	1793	1627	1789	1660	1250	975	1634	1412	1638	830	1090	574	706	1243
ENSG00000116198	702	962	606	685	1403	1459	1306	1083	1574	1029	1399	1409	1403	1225	1354	1366	1498	1180	987	738	1688	1199
ENSG00000169598	72	63	75	77	292	204	276	158	226	145	211	179	217	280	194	254	189	250	193	189	209	251
ENSG00000198912	60	272	80	92	235	366	247	299	339	276	345	324	290	131	255	283	299	211	218	148	326	267
ENSG00000196581	1013	4515	3256	1405	5833	5989	4958	6717	5935	5968	6767	6469	3736	2786	5065	5287	5416	3891	4722	2394	1296	5054
