Ensembl_ID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	Ds1	Ds2	Ds3	Ds4	Ds5	Ds6	Ds7	Ds8	Ds9
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	9	9	36	40	8	11	12	69	6	28	12	26	40	29	46	47	21	41	26	22
ENSG00000188976	496	624	1482	1417	558	454	1085	1249	270	477	799	1313	351	629	1051	798	755	570	887	1260
ENSG00000187961	13	20	89	66	12	34	82	131	13	30	25	105	44	45	95	98	82	47	32	100
ENSG00000187583	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0
ENSG00000187642	0	1	0	2	5	0	5	9	0	3	1	9	0	1	1	0	1	0	1	4
ENSG00000188290	20	10	125	105	10	75	139	313	19	43	33	96	32	45	25	47	22	13	18	64
ENSG00000187608	12	43	177	185	31	97	156	150	16	38	61	177	24	77	49	109	40	32	41	64
ENSG00000188157	156	155	921	815	180	973	1272	1454	288	511	371	1587	532	713	843	1072	775	485	402	775
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000131591	46	62	171	107	50	124	221	275	49	149	107	322	32	113	203	138	152	68	94	278
ENSG00000162571	0	4	13	7	8	1	6	0	33	31	0	2	58	3	8	1	2	8	4	12
ENSG00000186891	0	3	2	7	0	0	5	24	0	0	5	9	0	3	0	2	0	0	2	4
ENSG00000186827	0	0	6	5	0	6	9	9	0	0	8	7	6	8	2	9	0	14	0	6
ENSG00000078808	652	699	1259	1363	696	916	1275	1722	539	814	987	1419	742	950	1254	1164	1197	737	1192	1308
ENSG00000176022	286	276	433	489	221	176	471	454	108	202	309	379	194	238	368	307	159	185	326	373
ENSG00000184163	0	1	2	6	0	6	6	6	2	2	0	11	13	1	0	0	3	0	0	6
ENSG00000160087	167	182	451	336	119	240	405	545	151	248	237	428	152	293	333	326	362	271	197	366
ENSG00000162572	44	51	186	123	32	137	185	205	67	135	103	169	51	137	160	192	115	202	70	231
ENSG00000131584	453	530	2318	2150	458	2235	2901	3883	906	2058	1601	2629	404	1594	1517	2225	1408	1245	1033	3218
ENSG00000169972	7	20	82	71	0	40	81	128	26	48	42	71	34	42	24	41	22	8	15	67
ENSG00000127054	384	439	1122	842	306	653	936	1199	334	697	681	1000	351	701	1032	1059	1203	1186	617	1230
ENSG00000224051	51	52	330	222	49	142	326	319	71	135	131	242	121	174	212	213	88	154	148	329
ENSG00000169962	1	0	4	3	1	1	1	8	0	0	1	5	4	3	5	12	0	11	2	3
ENSG00000107404	228	356	1384	1206	222	1024	1596	1773	514	730	644	1288	489	659	927	886	565	597	462	1220
ENSG00000162576	9	13	92	72	19	150	75	276	24	110	41	90	84	49	77	74	58	56	49	143
ENSG00000175756	86	177	612	638	115	185	519	621	109	168	247	427	167	189	319	295	143	102	191	431
ENSG00000221978	836	906	1576	1547	1043	1175	1564	2310	903	1310	1319	1541	1231	1511	1968	2153	1875	1563	1428	1681
ENSG00000242485	452	659	1065	1212	408	280	891	850	185	355	603	737	308	371	527	534	472	267	521	614
ENSG00000235098	137	104	203	323	183	269	298	425	159	296	113	352	127	217	306	305	345	91	229	201
ENSG00000205116	4	2	38	13	6	109	32	63	35	51	8	49	0	24	20	31	16	1	20	50
ENSG00000179403	129	165	721	562	192	1405	479	1436	541	947	390	977	324	635	872	781	679	543	392	1255
ENSG00000215915	20	21	39	60	38	83	13	38	41	105	28	143	56	87	157	146	90	199	58	122
ENSG00000160072	94	57	280	213	39	205	290	399	121	202	230	348	93	216	266	260	428	154	149	322
ENSG00000197785	98	120	236	274	118	142	313	318	66	149	144	210	157	153	186	251	146	106	132	289
ENSG00000205090	9	21	128	166	12	46	151	170	16	41	81	162	7	58	107	92	28	37	46	175
ENSG00000160075	1178	1485	1672	1449	798	502	1681	1430	492	695	937	1321	672	879	1363	1188	1129	809	983	1007
ENSG00000228594	15	23	257	229	13	134	281	281	52	189	112	241	47	86	78	160	28	59	72	294
ENSG00000197530	270	358	949	910	282	589	1074	1465	329	544	656	961	692	705	827	949	603	614	602	1261
ENSG00000189409	0	0	0	4	0	0	0	1	0	0	0	4	0	1	8	0	1	3	0	4
ENSG00000248333	702	508	488	523	732	507	657	621	411	468	449	665	321	432	653	545	710	504	832	495
ENSG00000189339	351	762	1541	1231	330	976	1579	1477	866	522	976	1135	597	585	1390	881	759	499	717	1213
ENSG00000008128	31	47	35	37	52	48	37	50	29	63	38	33	46	51	55	35	157	110	50	55
ENSG00000215790	314	719	681	750	218	676	839	1414	387	1178	626	997	149	800	512	987	512	681	432	1111
ENSG00000008130	216	224	497	435	176	314	501	628	223	264	264	555	357	359	412	404	366	399	220	422
ENSG00000078369	10502	10130	10504	11628	6971	4080	13135	12164	3395	4122	7412	9914	3203	5569	10432	8111	6608	6017	9629	7865
ENSG00000169885	1	8	7	9	4	1	8	11	5	3	9	14	3	9	0	2	11	7	7	10
ENSG00000178821	5	1	9	17	3	4	18	7	1	0	0	24	9	5	2	18	9	19	8	13
ENSG00000142609	67	105	237	249	99	78	270	194	325	239	120	123	375	161	192	268	110	134	159	235
ENSG00000187730	112	213	423	608	82	119	572	590	20	96	216	393	45	247	288	360	270	83	196	269
ENSG00000067606	2253	2415	3378	3767	1589	1168	3751	3322	1091	1344	2398	3723	499	1662	2909	2190	2065	1292	2444	2753
ENSG00000162585	48	65	172	162	41	186	154	283	111	137	102	207	161	111	276	162	180	219	97	274
ENSG00000157933	936	845	1671	1605	693	1648	2298	2948	1156	1544	1505	2314	905	1491	2194	2143	1574	1771	1464	2319
ENSG00000116151	93	129	286	286	95	130	349	341	157	214	191	218	275	177	261	283	225	169	203	278
ENSG00000157916	798	975	1417	1424	929	951	1344	1850	713	929	1063	1258	948	1045	1466	1285	1087	1347	1105	1246
ENSG00000157911	254	315	551	502	236	331	513	594	204	249	304	287	245	252	292	472	226	204	215	348
ENSG00000149527	443	406	1475	1431	355	1242	2056	3128	842	1709	1282	1424	136	805	953	1226	1298	724	885	1224
ENSG00000157881	181	241	468	400	167	144	423	480	100	198	246	490	113	269	414	408	382	277	252	440
ENSG00000197921	5	9	83	48	8	110	87	60	9	27	22	49	2	26	2	25	0	0	1	13
ENSG00000157873	47	63	265	167	92	139	240	304	103	200	200	169	147	192	189	243	120	202	170	225
ENSG00000157870	169	323	1096	802	115	380	1052	851	193	342	429	833	106	319	579	481	312	279	264	990
ENSG00000142606	2	2	16	7	4	2	18	10	7	21	2	3	12	13	23	8	37	29	8	10
ENSG00000215912	41	18	98	85	18	87	101	95	137	164	41	91	86	70	70	82	74	117	67	136
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142611	153	195	305	338	163	678	417	482	474	530	206	397	861	343	385	514	574	438	301	592
ENSG00000130762	2	12	25	47	5	55	23	80	21	19	15	30	83	23	18	35	40	34	13	36
ENSG00000162591	19	28	70	67	34	65	67	132	88	66	27	61	46	74	87	52	34	66	71	133
ENSG00000158109	1311	1803	1945	1940	658	553	2386	2184	483	838	1193	1781	331	953	1555	1529	947	736	1220	1652
ENSG00000116213	71	86	278	158	50	139	230	313	69	138	122	188	82	147	218	232	197	174	154	259
ENSG00000078900	2	17	36	30	14	28	21	13	99	86	13	14	237	38	33	42	7	41	13	28
ENSG00000162592	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	3	0
ENSG00000235169	0	0	6	2	1	4	5	29	5	8	1	3	2	2	1	13	2	3	0	3
ENSG00000130764	884	703	1473	1239	641	480	1353	1391	283	546	976	1175	443	649	932	1015	835	632	821	957
ENSG00000116198	1410	1262	1145	1200	1234	986	1400	1658	956	1020	1227	1238	1003	1106	1529	1514	1389	1226	1490	1221
ENSG00000169598	69	51	167	150	74	64	141	212	100	149	109	188	75	173	177	180	161	145	130	203
ENSG00000198912	245	283	302	301	161	84	292	260	112	178	186	318	144	221	263	227	282	180	274	223
ENSG00000196581	4388	4998	4826	5120	3246	1346	5682	4453	1388	2378	4594	5002	519	2822	5386	3996	3015	2886	4632	5076
ENSG00000131697	201	219	502	461	145	412	737	842	298	554	561	683	322	528	480	658	660	405	464	931
ENSG00000069424	2358	2779	4817	4630	1230	2341	5918	6318	1434	3106	4187	4817	559	2481	3868	3460	3060	1604	3055	6259
ENSG00000116254	3966	3814	7461	6804	2555	2261	10451	8760	995	3556	5987	7980	586	4874	6336	6574	6018	3419	6093	7069
ENSG00000285629	0	0	0	1	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	1
ENSG00000116251	1518	1567	1734	2314	1685	893	1438	1575	722	634	1004	1117	446	763	1325	1254	997	886	1136	1067
ENSG00000158286	110	98	266	259	44	63	409	345	23	198	258	294	135	242	242	341	244	244	195	287
ENSG00000116237	738	1094	1242	1522	750	611	1060	1580	478	596	702	949	964	653	954	949	632	703	696	781
ENSG00000173673	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	42	125	372	316	41	221	523	254	283	162	187	348	56	122	112	265	75	109	93	234
ENSG00000097021	722	1343	1958	1579	307	247	1905	1465	224	813	1248	1815	58	781	1097	1180	894	404	853	1284
ENSG00000069812	0	5	0	0	0	0	0	0	1	6	6	0	0	4	1	0	0	0	0	0
ENSG00000187017	0	0	4	3	0	6	6	92	1	0	1	10	0	0	7	5	8	1	2	13
ENSG00000215788	87	92	214	191	111	85	353	324	78	168	296	375	76	319	471	472	478	399	264	463
ENSG00000171680	444	538	1647	1242	596	443	1436	1724	414	1129	1150	1266	309	948	1377	1446	1024	950	1114	2033
ENSG00000162408	1160	1154	1703	1584	849	716	1660	1618	593	984	1417	1369	381	830	1128	1091	786	665	1159	1265
ENSG00000173662	0	0	5	0	0	5	3	1	3	0	1	0	3	2	0	0	0	0	0	3
ENSG00000204859	82	122	294	294	54	210	372	347	158	203	160	336	103	233	211	263	209	131	172	282
ENSG00000162413	196	263	766	558	207	715	727	1112	598	626	331	837	690	576	782	748	556	1131	335	828
ENSG00000116273	133	180	390	288	138	204	352	406	172	181	223	299	141	151	253	259	235	270	194	248
ENSG00000041988	74	81	256	182	40	129	197	289	71	116	104	209	94	141	234	219	146	206	93	213
ENSG00000007923	1204	1365	1608	1572	911	599	1467	1344	506	723	1277	1368	427	778	1213	1129	1022	675	1346	1231
ENSG00000171735	6635	6179	6179	7523	4258	1522	7298	8524	1433	2343	5901	6393	603	3402	6292	5104	5192	3010	6448	5119
ENSG00000049245	1275	1371	1528	1762	1724	1745	1585	2261	1718	1330	1290	1384	896	1338	1738	1957	1232	1665	1543	1438
ENSG00000049246	1612	1236	2117	2038	1125	1767	2205	2650	874	1343	1440	1682	432	1107	1330	1424	1716	1118	1175	1379
ENSG00000049247	11	1	6	4	4	0	2	12	0	0	2	12	0	4	0	0	0	0	0	16
ENSG00000049249	1	6	0	0	0	1	3	5	0	1	0	0	21	3	1	2	0	8	0	2
ENSG00000116288	1852	2227	2138	2498	1707	621	1969	1715	516	671	1529	1671	990	1158	1699	1512	1545	948	1879	1228
ENSG00000116285	704	775	751	785	705	411	792	1342	552	543	604	822	1656	481	785	689	680	531	755	658
ENSG00000162426	44	83	256	215	38	89	345	300	55	108	161	371	67	110	146	190	155	53	97	322
ENSG00000142599	4180	3900	4926	5729	3428	5273	6836	6944	3313	4491	4529	6016	2782	4121	6566	5909	5592	5277	5199	5680
ENSG00000074800	6592	10405	16595	16435	6005	4409	12467	12812	2826	5561	8011	10855	4196	5279	8793	8186	6565	4827	8497	10024
ENSG00000131686	0	4	0	5	0	0	1	0	0	0	1	0	1	0	3	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000142583	88	71	287	238	80	27	100	263	18	106	110	315	105	175	252	230	321	166	293	521
ENSG00000180758	2	6	4	33	6	6	10	24	15	19	12	12	127	33	28	42	13	29	21	20
ENSG00000049239	195	243	722	603	247	741	726	1115	714	951	467	760	594	689	804	760	555	514	524	1013
ENSG00000171621	72	104	186	168	134	346	173	462	343	364	152	285	142	179	349	282	294	295	186	295
ENSG00000171612	271	327	466	472	261	289	450	458	161	260	203	279	218	170	205	237	111	315	222	204
ENSG00000188807	60	81	266	229	52	234	313	436	172	294	155	272	138	225	188	253	201	132	126	358
ENSG00000171608	184	183	431	369	134	151	484	392	91	213	281	465	175	276	463	345	295	309	359	378
ENSG00000171603	12238	13998	19088	19113	8005	4678	22554	21691	3591	6248	14934	19379	5522	9993	20404	14310	13191	7640	18360	15991
ENSG00000178585	215	232	772	641	159	531	719	1079	267	382	304	526	102	308	292	378	157	135	203	615
ENSG00000162441	1180	1364	1325	1615	1050	1034	1415	1574	702	947	856	1114	439	675	1040	1128	845	771	827	919
ENSG00000173614	224	307	351	392	257	151	362	311	200	195	255	345	295	205	276	425	230	281	294	233
ENSG00000162444	95	147	125	143	240	126	72	254	98	96	112	84	114	111	110	142	151	82	183	66
ENSG00000130939	2428	2575	3035	2864	1994	1769	2897	3384	1508	2009	2438	2950	889	2130	3152	2978	2771	2479	2749	2732
ENSG00000054523	28272	32829	35439	36479	22303	20549	37141	38391	14764	18006	27544	29926	7617	20220	32769	28214	24231	18602	29778	26031
ENSG00000142657	1324	1783	1949	2320	1475	618	1609	2013	557	929	1377	2013	934	1196	2015	1774	1518	1810	2197	1642
ENSG00000251503	0	0	0	2	0	0	1	0	0	0	1	3	0	0	0	0	5	0	0	0
ENSG00000175279	6	11	5	2	2	2	7	1	1	1	5	0	5	3	3	1	0	4	5	1
ENSG00000241563	20	9	41	24	13	4	23	24	0	13	16	33	2	14	12	7	15	0	13	30
ENSG00000160049	1652	1865	1977	2241	2004	1377	1925	2221	1278	1241	1555	2204	923	1350	2223	1926	1699	3034	2103	1710
ENSG00000142655	184	266	477	478	199	184	460	561	115	204	319	512	210	281	453	476	316	224	393	517
ENSG00000130940	12	19	12	17	12	14	11	1039	18	27	29	36	147	18	79	51	86	95	24	35
ENSG00000175262	0	0	3	5	5	0	7	3	0	0	0	2	0	3	5	0	0	0	0	0
ENSG00000120948	1397	1208	1236	1121	1000	718	1244	1440	623	894	1166	1487	602	1031	1691	1502	1690	1077	1386	1325
