Ensembl	logFC	FDR	SYMBOL	Significance
ENSG00000159216	1.669625015	5.35E-08	RUNX1	Triplicated
ENSG00000157617	1.13347005	2.76E-07	C2CD2	Triplicated
ENSG00000160305	0.921378271	7.81E-07	DIP2A	Triplicated
ENSG00000160285	1.228756891	1.29E-06	LSS	Triplicated
ENSG00000142156	1.540819728	1.29E-06	COL6A1	Triplicated
ENSG00000160255	1.736913797	1.31E-06	ITGB2	Triplicated
ENSG00000142173	1.688050794	1.64E-06	COL6A2	Triplicated
ENSG00000186866	1.257240627	1.80E-06	POFUT2	Triplicated
ENSG00000160179	0.934236816	1.14E-05	ABCG1	Triplicated
ENSG00000184787	0.811905064	1.27E-05	UBE2G2	Triplicated
ENSG00000160299	0.772066536	1.97E-05	PCNT	Triplicated
ENSG00000142185	1.445744484	2.58E-05	TRPM2	Triplicated
ENSG00000160213	0.926269546	3.40E-05	CSTB	Triplicated
ENSG00000160298	1.744116194	3.45E-05	C21orf58	Triplicated
ENSG00000277117	2.287958361	5.06E-05	LOC102723996	Triplicated
ENSG00000182871	1.650598089	7.87E-05	COL18A1	Triplicated
ENSG00000183255	0.69420686	9.11E-05	PTTG1IP	Triplicated
ENSG00000182240	1.138833492	0.000123884	BACE2	Triplicated
ENSG00000141959	1.146352537	0.000134461	PFKL	Triplicated
ENSG00000160209	0.967369113	0.000139796	PDXK	Triplicated
ENSG00000274276	2.251406097	0.000213915	CBSL	Triplicated
ENSG00000159110	1.029674548	0.000247147	IFNAR2	Triplicated
ENSG00000183486	1.203075567	0.000258213	MX2	Triplicated
ENSG00000160282	2.406649739	0.000346754	FTCD	Triplicated
ENSG00000160294	0.658231762	0.000349228	MCM3AP	Triplicated
ENSG00000265590	0.945867843	0.000484162	C21orf59-TCP10L	Triplicated
ENSG00000159228	0.694668241	0.000888131	CBR1	Triplicated
ENSG00000160233	1.633023969	0.000939029	LRRC3	Triplicated
ENSG00000171587	0.74835705	0.000949366	DSCAM	Triplicated
ENSG00000159212	1.579806093	0.001060363	CLIC6	Triplicated
ENSG00000166979	1.053387071	0.001151823	EVA1C	Triplicated
ENSG00000157538	0.603844163	0.001304407	VPS26C	Triplicated
ENSG00000141956	0.68308591	0.0014739	PRDM15	Triplicated
ENSG00000242220	1.305845432	0.001537574	TCP10L	Triplicated
ENSG00000197381	0.724533987	0.001544959	ADARB1	Triplicated
ENSG00000160208	0.633389587	0.001918234	RRP1B	Triplicated
ENSG00000160216	0.659446062	0.001967176	AGPAT3	Triplicated
ENSG00000160218	0.583433703	0.002058131	TRAPPC10	Triplicated
ENSG00000156304	0.672381201	0.002238868	SCAF4	Triplicated
ENSG00000160190	0.751068347	0.00237933	SLC37A1	Triplicated
ENSG00000142207	0.711185177	0.002454584	URB1	Triplicated
ENSG00000159079	0.789407344	0.002640852	CFAP298	Triplicated
ENSG00000160226	1.168778708	0.003082527	CFAP410	Triplicated
ENSG00000154734	0.992758708	0.004423248	ADAMTS1	Triplicated
ENSG00000160310	0.485231969	0.004424412	PRMT2	Triplicated
ENSG00000243646	0.926772798	0.004488447	IL10RB	Triplicated
ENSG00000184221	0.884345923	0.004730084	OLIG1	Triplicated
ENSG00000173638	1.41269009	0.005982116	SLC19A1	Triplicated
