ENSEMBL,ENTREZID,SYMBOL,GENENAME,CHR
ENSG00000198959,7052,TGM2,transglutaminase 2,20
ENSG00000136286,64005,MYO1G,myosin IG,7
ENSG00000142798,3339,HSPG2,heparan sulfate proteoglycan 2,1
ENSG00000196136,12,SERPINA3,serpin family A member 3,14
ENSG00000132470,3691,ITGB4,integrin subunit beta 4,17
ENSG00000173369,713,C1QB,complement C1q B chain,1
ENSG00000105193,6217,RPS16,ribosomal protein S16,19
ENSG00000077238,3566,IL4R,interleukin 4 receptor,16
ENSG00000149257,871,SERPINH1,serpin family H member 1,11
ENSG00000110799,7450,VWF,von Willebrand factor,12
ENSG00000006128,6863,TAC1,tachykinin precursor 1,7
ENSG00000159189,714,C1QC,complement C1q C chain,1
ENSG00000275395,8857,FCGBP,Fc fragment of IgG binding protein,19
ENSG00000106624,165,AEBP1,AE binding protein 1,7
ENSG00000018280,6556,SLC11A1,solute carrier family 11 member 1,2
ENSG00000106211,3315,HSPB1,heat shock protein family B (small) member 1,7
ENSG00000124440,64344,HIF3A,hypoxia inducible factor 3 subunit alpha,19
ENSG00000012124,933,CD22,CD22 molecule,19
ENSG00000197249,5265,SERPINA1,serpin family A member 1,14
ENSG00000113161,3156,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,5
ENSG00000196924,2316,FLNA,filamin A,X
ENSG00000177575,9332,CD163,CD163 molecule,12
ENSG00000176697,627,BDNF,brain derived neurotrophic factor,11
ENSG00000123545,29078,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4,6
ENSG00000117266,5129,CDK18,cyclin dependent kinase 18,1
ENSG00000026508,960,CD44,CD44 molecule (Indian blood group),11
ENSG00000119698,57718,PPP4R4,protein phosphatase 4 regulatory subunit 4,14
ENSG00000145623,9180,OSMR,oncostatin M receptor,5
ENSG00000133048,1116,CHI3L1,chitinase 3 like 1,1
ENSG00000188269,26659,OR7A5,olfactory receptor family 7 subfamily A member 5,19
ENSG00000104419,10397,NDRG1,N-myc downstream regulated 1,8
ENSG00000064300,4804,NGFR,nerve growth factor receptor,17
ENSG00000184144,6900,CNTN2,contactin 2,1
ENSG00000155959,7411,VBP1,VHL binding protein 1,X
ENSG00000099998,2687,GGT5,gamma-glutamyltransferase 5,22
ENSG00000099331,4650,MYO9B,myosin IXB,19
ENSG00000113387,10923,SUB1,SUB1 regulator of transcription,5
ENSG00000149131,710,SERPING1,serpin family G member 1,11
ENSG00000105339,22898,DENND3,DENN domain containing 3,8
ENSG00000128609,4698,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,7
ENSG00000095397,25861,WHRN,whirlin,9
ENSG00000153130,60592,SCOC,short coiled-coil protein,4
ENSG00000159216,861,RUNX1,RUNX family transcription factor 1,21
ENSG00000180332,386618,KCTD4,potassium channel tetramerization domain containing 4,13
ENSG00000135245,29923,HILPDA,hypoxia inducible lipid droplet associated,7
ENSG00000107331,20,ABCA2,ATP binding cassette subfamily A member 2,9
ENSG00000132872,6860,SYT4,synaptotagmin 4,18
ENSG00000161940,255877,BCL6B,BCL6B transcription repressor,17
ENSG00000000938,2268,FGR,"FGR proto-oncogene, Src family tyrosine kinase",1
ENSG00000101187,28231,SLCO4A1,solute carrier organic anion transporter family member 4A1,20
ENSG00000124920,745,MYRF,myelin regulatory factor,11
ENSG00000224389,721,C4B,complement C4B (Chido blood group),6
ENSG00000096433,3710,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3",6
ENSG00000137221,93643,TJAP1,tight junction associated protein 1,6
ENSG00000107317,5730,PTGDS,prostaglandin D2 synthase,9
ENSG00000106397,8985,PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",7
ENSG00000132510,23135,KDM6B,lysine demethylase 6B,17
ENSG00000128591,2318,FLNC,filamin C,7
ENSG00000132793,64900,LPIN3,lipin 3,20
ENSG00000138119,26509,MYOF,myoferlin,10
ENSG00000013364,9961,MVP,major vault protein,16
ENSG00000109846,1410,CRYAB,crystallin alpha B,11
ENSG00000173442,254102,EHBP1L1,EH domain binding protein 1 like 1,11
ENSG00000077264,5063,PAK3,p21 (RAC1) activated kinase 3,X
ENSG00000151929,9531,BAG3,BCL2 associated athanogene 3,10
ENSG00000184515,340542,BEX5,brain expressed X-linked 5,X
ENSG00000168481,203190,LGI3,leucine rich repeat LGI family member 3,8
ENSG00000159403,715,C1R,complement C1r,12
ENSG00000109906,7704,ZBTB16,zinc finger and BTB domain containing 16,11
ENSG00000170458,929,CD14,CD14 molecule,5
ENSG00000157617,25966,C2CD2,C2 calcium dependent domain containing 2,21
ENSG00000164924,7534,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,8
ENSG00000168056,4054,LTBP3,latent transforming growth factor beta binding protein 3,11
ENSG00000123612,130399,ACVR1C,activin A receptor type 1C,2
ENSG00000175727,22877,MLXIP,MLX interacting protein,12
ENSG00000165507,11067,DEPP1,DEPP1 autophagy regulator,10
ENSG00000141905,4782,NFIC,nuclear factor I C,19
ENSG00000163531,23114,NFASC,neurofascin,1
ENSG00000137834,4091,SMAD6,SMAD family member 6,15
ENSG00000136367,85446,ZFHX2,zinc finger homeobox 2,14
ENSG00000119403,26147,PHF19,PHD finger protein 19,9
ENSG00000019144,23187,PHLDB1,pleckstrin homology like domain family B member 1,11
ENSG00000164604,54329,GPR85,G protein-coupled receptor 85,7
ENSG00000079308,7145,TNS1,tensin 1,2
ENSG00000122863,9469,CHST3,carbohydrate sulfotransferase 3,10
ENSG00000197142,51703,ACSL5,acyl-CoA synthetase long chain family member 5,10
ENSG00000137462,7097,TLR2,toll like receptor 2,4
ENSG00000129450,27180,SIGLEC9,sialic acid binding Ig like lectin 9,19
ENSG00000096060,2289,FKBP5,FKBP prolyl isomerase 5,6
ENSG00000120437,39,ACAT2,acetyl-CoA acetyltransferase 2,6
ENSG00000074855,57719,ANO8,anoctamin 8,19
ENSG00000052802,6307,MSMO1,methylsterol monooxygenase 1,4
ENSG00000110077,64231,MS4A6A,membrane spanning 4-domains A6A,11
ENSG00000197045,2764,GMFB,glia maturation factor beta,14
ENSG00000110719,10312,TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3",11
ENSG00000130175,5589,PRKCSH,protein kinase C substrate 80K-H,19
ENSG00000124762,1026,CDKN1A,cyclin dependent kinase inhibitor 1A,6
ENSG00000154803,201163,FLCN,folliculin,17
ENSG00000119688,5826,ABCD4,ATP binding cassette subfamily D member 4,14
ENSG00000158195,10163,WASF2,WASP family member 2,1
ENSG00000185022,23764,MAFF,MAF bZIP transcription factor F,22
ENSG00000160305,23181,DIP2A,disco interacting protein 2 homolog A,21
ENSG00000127184,1350,COX7C,cytochrome c oxidase subunit 7C,5
ENSG00000173110,3310,HSPA6,heat shock protein family A (Hsp70) member 6,1
ENSG00000064886,1117,CHI3L2,chitinase 3 like 2,1
ENSG00000129636,81533,ITFG1,integrin alpha FG-GAP repeat containing 1,16
ENSG00000179841,9495,AKAP5,A-kinase anchoring protein 5,14
ENSG00000215915,219293,ATAD3C,ATPase family AAA domain containing 3C,1
ENSG00000143933,805,CALM2,calmodulin 2,2
ENSG00000143382,54507,ADAMTSL4,ADAMTS like 4,1
ENSG00000111077,23371,TNS2,tensin 2,12
ENSG00000215788,8718,TNFRSF25,TNF receptor superfamily member 25,1
ENSG00000160285,4047,LSS,lanosterol synthase,21
ENSG00000006747,85477,SCIN,scinderin,7
ENSG00000240583,358,AQP1,aquaporin 1 (Colton blood group),7
ENSG00000142156,1291,COL6A1,collagen type VI alpha 1 chain,21
ENSG00000160255,3689,ITGB2,integrin subunit beta 2,21
ENSG00000112972,3157,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,5
