Ensembl	logFC	FDR	SYMBOL	Significance
ENSG00000142798	2.447140058	2.67E-12	HSPG2	Up
ENSG00000136286	3.678790418	2.67E-12	MYO1G	Up
ENSG00000198959	2.258398522	2.67E-12	TGM2	Up
ENSG00000196136	3.165262005	2.71E-12	SERPINA3	Up
ENSG00000132470	2.180069415	3.11E-12	ITGB4	Up
ENSG00000173369	2.164072353	1.62E-11	C1QB	Up
ENSG00000149257	1.67611224	3.46E-11	SERPINH1	Up
ENSG00000077238	2.077452898	3.46E-11	IL4R	Up
ENSG00000105193	1.608404389	3.46E-11	RPS16	Up
ENSG00000006128	-2.202031687	5.87E-11	TAC1	Down
ENSG00000159189	2.568705698	5.87E-11	C1QC	Up
ENSG00000110799	2.066429316	5.87E-11	VWF	Up
ENSG00000275395	3.327637164	1.02E-10	FCGBP	Up
ENSG00000106624	1.693351673	1.02E-10	AEBP1	Up
ENSG00000018280	3.385902749	3.42E-10	SLC11A1	Up
ENSG00000106211	2.00048309	4.41E-10	HSPB1	Up
ENSG00000124440	1.56661108	4.76E-10	HIF3A	Up
ENSG00000113161	-0.99522916	1.56E-09	HMGCR	Down
ENSG00000197249	2.712947752	1.56E-09	SERPINA1	Up
ENSG00000012124	1.439334215	1.56E-09	CD22	Up
ENSG00000196924	1.612728873	2.05E-09	FLNA	Up
ENSG00000177575	2.131887218	2.41E-09	CD163	Up
ENSG00000123545	-1.293221704	2.91E-09	NDUFAF4	Down
ENSG00000176697	-1.458903	2.91E-09	BDNF	Down
ENSG00000117266	1.459087955	4.09E-09	CDK18	Up
ENSG00000026508	1.555079153	4.29E-09	CD44	Up
ENSG00000119698	-0.991996047	5.04E-09	PPP4R4	Down
ENSG00000145623	1.690325177	5.35E-09	OSMR	Up
ENSG00000133048	2.312806549	7.29E-09	CHI3L1	Up
ENSG00000188269	2.758426781	8.86E-09	OR7A5	Up
ENSG00000104419	1.107380538	1.02E-08	NDRG1	Up
ENSG00000064300	3.411618017	1.50E-08	NGFR	Up
ENSG00000184144	1.156016779	1.83E-08	CNTN2	Up
ENSG00000113387	-1.30583413	2.63E-08	SUB1	Down
ENSG00000155959	-1.188767941	2.63E-08	VBP1	Down
ENSG00000099331	1.200739604	2.63E-08	MYO9B	Up
ENSG00000099998	2.29471608	2.63E-08	GGT5	Up
ENSG00000149131	1.292218559	2.67E-08	SERPING1	Up
ENSG00000105339	1.419050034	3.06E-08	DENND3	Up
ENSG00000128609	-1.25132832	3.06E-08	NDUFA5	Down
ENSG00000095397	1.817451537	3.12E-08	WHRN	Up
ENSG00000153130	-0.986143742	5.07E-08	SCOC	Down
ENSG00000180332	-1.316863142	5.38E-08	KCTD4	Down
ENSG00000135245	2.431604588	6.08E-08	HILPDA	Up
ENSG00000107331	1.471132023	6.40E-08	ABCA2	Up
ENSG00000132872	-1.114544733	6.99E-08	SYT4	Down
ENSG00000161940	2.170436321	8.33E-08	BCL6B	Up
ENSG00000000938	2.705899411	9.48E-08	FGR	Up
ENSG00000224389	2.8697805	1.00E-07	C4B	Up
ENSG00000096433	1.874284916	1.00E-07	ITPR3	Up
ENSG00000137221	1.466551061	1.00E-07	TJAP1	Up
ENSG00000124920	1.469489993	1.00E-07	MYRF	Up
ENSG00000101187	2.883053015	1.00E-07	SLCO4A1	Up
ENSG00000106397	1.372530969	1.20E-07	PLOD3	Up
ENSG00000107317	1.861562944	1.20E-07	PTGDS	Up
ENSG00000132510	1.705142679	1.30E-07	KDM6B	Up
ENSG00000128591	1.52355459	1.38E-07	FLNC	Up
ENSG00000138119	1.248961861	1.39E-07	MYOF	Up
ENSG00000132793	2.384626445	1.39E-07	LPIN3	Up
ENSG00000013364	1.819184957	1.40E-07	MVP	Up
ENSG00000109846	1.156968816	1.56E-07	CRYAB	Up
ENSG00000173442	1.202058362	1.73E-07	EHBP1L1	Up
ENSG00000077264	-0.87015514	1.99E-07	PAK3	Down
ENSG00000151929	1.438294759	1.99E-07	BAG3	Up
ENSG00000184515	-1.124160573	2.04E-07	BEX5	Down
ENSG00000168481	1.292414831	2.09E-07	LGI3	Up
ENSG00000159403	1.517777592	2.13E-07	C1R	Up
ENSG00000109906	1.104121526	2.26E-07	ZBTB16	Up
ENSG00000170458	1.981012306	2.33E-07	CD14	Up
ENSG00000164924	-0.920784747	2.78E-07	YWHAZ	Down
ENSG00000123612	-1.408715918	2.98E-07	ACVR1C	Down
ENSG00000168056	1.332759645	2.98E-07	LTBP3	Up
ENSG00000165507	2.714911698	3.12E-07	DEPP1	Up
ENSG00000175727	1.350827729	3.12E-07	MLXIP	Up
ENSG00000141905	1.232293402	3.51E-07	NFIC	Up
ENSG00000163531	0.964523083	3.52E-07	NFASC	Up
ENSG00000137834	1.706374727	3.85E-07	SMAD6	Up
ENSG00000136367	1.536001151	3.96E-07	ZFHX2	Up
ENSG00000119403	1.386810672	4.11E-07	PHF19	Up
ENSG00000164604	-0.991558953	4.14E-07	GPR85	Down
ENSG00000079308	1.342324821	4.14E-07	TNS1	Up
ENSG00000019144	1.145503482	4.14E-07	PHLDB1	Up
ENSG00000122863	1.123726525	5.52E-07	CHST3	Up
ENSG00000197142	1.563476345	5.72E-07	ACSL5	Up
ENSG00000137462	1.696540321	5.78E-07	TLR2	Up
ENSG00000129450	2.398373528	5.81E-07	SIGLEC9	Up
